title,topic_1,label_1,topic_2,label_2,p1,p2,margin
How can I see my spending and income analytics?,0,Managing account balances and transfers,2,Accessing plan benefits,0.84,0.16,0.68
Getting an update on an everyday protection claim,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.822,0.139,0.683
The Athletic,2,Accessing plan benefits,0,Managing account balances and transfers,0.812,0.128,0.684
Revolut Ramp supported currencies and limits,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.803,0.119,0.685
What is the analytics dashboard?,0,Managing account balances and transfers,2,Accessing plan benefits,0.817,0.13,0.687
Limits for using my card abroad,0,Managing account balances and transfers,2,Accessing plan benefits,0.844,0.156,0.689
"I just made an exchange, but I can't find my money",0,Managing account balances and transfers,2,Accessing plan benefits,0.844,0.156,0.689
Personalise RevPoints,0,Managing account balances and transfers,2,Accessing plan benefits,0.818,0.127,0.691
"Trading account information, statements and reports",0,Managing account balances and transfers,1,Travel insurance trip coverage,0.834,0.142,0.691
Paid plan payment status,0,Managing account balances and transfers,2,Accessing plan benefits,0.825,0.133,0.692
Report a fraudulent ATM withdrawal,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.826,0.133,0.692
How do I make a cancel for any reason protection claim?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.835,0.142,0.693
I sent a transfer to the wrong Revolut customer,0,Managing account balances and transfers,2,Accessing plan benefits,0.847,0.153,0.695
Chess.com,2,Accessing plan benefits,0,Managing account balances and transfers,0.83,0.134,0.695
Cancel for any reason complaints,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.833,0.136,0.696
Pending crypto withdrawals,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.848,0.152,0.696
Installing and activating my eSIM,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.802,0.104,0.698
What does Revolut use my data for?,0,Managing account balances and transfers,2,Accessing plan benefits,0.826,0.127,0.699
Accepted proof of address documents,0,Managing account balances and transfers,2,Accessing plan benefits,0.85,0.15,0.7
How do I make a protection insurance claim?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.852,0.148,0.704
Trips covered by travel insurance,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.82,0.115,0.705
Setting up a Joint account,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.813,0.107,0.706
How do I close my account?,0,Managing account balances and transfers,2,Accessing plan benefits,0.845,0.139,0.706
How is interest calculated on tiered Instant Access Savings?,2,Accessing plan benefits,0,Managing account balances and transfers,0.813,0.104,0.708
"My friend ordered a card, but I didn’t get the reward. Why?",0,Managing account balances and transfers,2,Accessing plan benefits,0.819,0.111,0.708
Referrals reward requirements,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.826,0.115,0.71
Paying for my mobile plan,0,Managing account balances and transfers,2,Accessing plan benefits,0.824,0.114,0.71
Why was my card payment declined if I have enough funds?,0,Managing account balances and transfers,2,Accessing plan benefits,0.848,0.135,0.712
Tinder,2,Accessing plan benefits,0,Managing account balances and transfers,0.841,0.128,0.713
I'm unable to verify my identity,0,Managing account balances and transfers,2,Accessing plan benefits,0.844,0.125,0.719
Cover for car hire excess,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.824,0.103,0.721
Why was my top-up reverted?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.86,0.14,0.721
Claiming after Premium travel insurance removal,1,Travel insurance trip coverage,2,Accessing plan benefits,0.861,0.139,0.722
Is a physical card required for your friend's purchases?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.825,0.102,0.723
Download an account statement for a specific currency,0,Managing account balances and transfers,2,Accessing plan benefits,0.834,0.11,0.724
Revolut.me link,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.862,0.138,0.724
How to set up Direct Debits in Pro,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.839,0.115,0.724
Sleep Cycle,2,Accessing plan benefits,0,Managing account balances and transfers,0.849,0.125,0.724
Take Profit and Stop Loss orders,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.862,0.138,0.725
Finding the card PIN,0,Managing account balances and transfers,2,Accessing plan benefits,0.835,0.11,0.725
Will I get a full refund for my trip or event cancellation?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.847,0.122,0.726
MasterClass,2,Accessing plan benefits,0,Managing account balances and transfers,0.848,0.12,0.728
Log in with a new phone number,0,Managing account balances and transfers,2,Accessing plan benefits,0.864,0.136,0.728
Download your account confirmation,0,Managing account balances and transfers,2,Accessing plan benefits,0.84,0.112,0.728
What are the fees for Revolut Ramp?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.865,0.135,0.73
What information do I need to provide to onboard to trading?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.836,0.105,0.731
What is a trip?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.842,0.109,0.733
Fees for trading crypto,0,Managing account balances and transfers,2,Accessing plan benefits,0.851,0.117,0.734
Pending crypto deposits,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.855,0.121,0.734
Add a new wallet to withdraw crypto,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.867,0.133,0.735
What is Revolut ID?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.869,0.131,0.737
Send (withdraw) crypto to an external address,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.854,0.115,0.738
Will my account details change after my account is moved?,0,Managing account balances and transfers,2,Accessing plan benefits,0.869,0.131,0.739
Calculation of crypto tiered pricing,0,Managing account balances and transfers,2,Accessing plan benefits,0.872,0.128,0.744
Am I eligible for Apple Pay?,0,Managing account balances and transfers,2,Accessing plan benefits,0.872,0.128,0.745
Orders submitted during extended hours trading,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.874,0.126,0.747
How can I view my travel insurance policy documents?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.876,0.124,0.751
Emergency medical assistance abroad,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.876,0.124,0.751
Get started with Revolut X,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.859,0.107,0.752
Can I get a VAT invoice for my Stays booking?,0,Managing account balances and transfers,2,Accessing plan benefits,0.877,0.123,0.753
Making a donation through Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.864,0.112,0.753
Where you can sign up for Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.877,0.123,0.754
Manage scheduled transfers,0,Managing account balances and transfers,2,Accessing plan benefits,0.877,0.123,0.754
Travel insurance coverage,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.869,0.114,0.755
What are Revolut Terminals?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.878,0.122,0.756
Picsart,2,Accessing plan benefits,0,Managing account balances and transfers,0.867,0.107,0.76
What are linked wallets?,0,Managing account balances and transfers,2,Accessing plan benefits,0.864,0.102,0.762
Getting started with Pockets,0,Managing account balances and transfers,2,Accessing plan benefits,0.882,0.118,0.765
How do I donate to Ukrainian refugees?,0,Managing account balances and transfers,2,Accessing plan benefits,0.883,0.117,0.766
What's not covered under purchase insurance?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.883,0.117,0.766
Manage my external linked accounts in Revolut,0,Managing account balances and transfers,2,Accessing plan benefits,0.87,0.104,0.766
I'm having trouble using my Revolut Terminal,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.884,0.116,0.767
Get a Pockets statement,0,Managing account balances and transfers,2,Accessing plan benefits,0.883,0.117,0.767
What happens if the Revolut account holder passes away?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.884,0.116,0.767
What is a trading halt?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.884,0.116,0.768
Is my account eligible to be moved to Revolut Bank?,0,Managing account balances and transfers,2,Accessing plan benefits,0.885,0.115,0.77
My card payment was declined by the security system,0,Managing account balances and transfers,2,Accessing plan benefits,0.885,0.115,0.77
Why is my travel insurance coverage ending?,1,Travel insurance trip coverage,2,Accessing plan benefits,0.874,0.102,0.772
Add money to your savings account,0,Managing account balances and transfers,2,Accessing plan benefits,0.886,0.114,0.772
Cancelling or rescheduling a number transfer to Revolut,0,Managing account balances and transfers,2,Accessing plan benefits,0.886,0.114,0.772
How does converting cryptocurrency to fiat currency work?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.886,0.114,0.773
Mobile plan allowance and consumption,0,Managing account balances and transfers,2,Accessing plan benefits,0.887,0.113,0.774
Managing a number transfer to Revolut,0,Managing account balances and transfers,2,Accessing plan benefits,0.887,0.113,0.774
Why did I receive less crypto than I paid for?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.887,0.113,0.775
Create and manage custom categories for transactions,0,Managing account balances and transfers,2,Accessing plan benefits,0.888,0.112,0.775
Pending trading orders,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.889,0.111,0.777
Who can use Revolut Pro and how do I get started?,0,Managing account balances and transfers,2,Accessing plan benefits,0.888,0.112,0.777
Why hasn't my referrer received their Referrals reward?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.891,0.109,0.782
Switch your account to Revolut,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.889,0.103,0.787
How much does it cost to accept payments with Revolut Pro?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.894,0.106,0.787
What's the excess for purchase insurance claims?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.894,0.106,0.788
Investing with the Stocks and Shares ISA,0,Managing account balances and transfers,2,Accessing plan benefits,0.894,0.106,0.789
Why is my card added to Click to Pay not shown at checkout?,0,Managing account balances and transfers,2,Accessing plan benefits,0.895,0.105,0.789
Why did my payment amount change?,0,Managing account balances and transfers,2,Accessing plan benefits,0.895,0.105,0.79
Locked bootloader requirement for Android devices,0,Managing account balances and transfers,2,Accessing plan benefits,0.896,0.104,0.791
My phone suddenly lost signal,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.895,0.105,0.791
Can I cover intermediary bank fees upfront?,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.896,0.104,0.792
What are the limits of cover and deductibles?,1,Travel insurance trip coverage,0,Managing account balances and transfers,0.896,0.104,0.792
Cover for medical expenses abroad,1,Travel insurance trip coverage,2,Accessing plan benefits,0.897,0.103,0.793
Understanding our onboarding question about affiliations,0,Managing account balances and transfers,1,Travel insurance trip coverage,0.898,0.102,0.795
