title,topic_id,llm_label,probability
Can I cancel an airport lounge pass? ,12,RevPoints loyalty program,0.0
How do I purchase an airport lounge pass?,12,RevPoints loyalty program,0.0
How do I use my airport lounge pass?,12,RevPoints loyalty program,0.0
I'm having difficulty with my airport lounge pass,12,RevPoints loyalty program,0.0
How do I donate to Ukrainian refugees?,8,Supported currencies and cards,0.0
Making a donation through Revolut,26,Managing Revolut Pockets,0.0
Spare change and recurring Donations,26,Managing Revolut Pockets,0.0
Auto-renewing an eSIM data plan,23,eSIM data plan management,1.0
Can I label my eSIM for my data plan?,23,eSIM data plan management,1.0
Difficulties with eSIM,23,eSIM data plan management,1.0
Revolut data plans,23,eSIM data plan management,1.0
Installing and activating my eSIM,23,eSIM data plan management,1.0
Managing my eSIM data plan,23,eSIM data plan management,1.0
Supported eSIM devices,23,eSIM data plan management,1.0
Mobile plan access and payment,15,Downgrading paid plans,0.853
Cancelling or rescheduling a number transfer to Revolut,23,eSIM data plan management,0.0
Cancelling your old phone plan,4,Joint account closure,0.0
Managing a mobile plan for a lost or stolen device,23,eSIM data plan management,0.0
Managing a failed number transfer,11,Transfer status and delays,0.0
Managing a number transfer to Revolut,23,eSIM data plan management,0.0
Managing mobile plans and add-ons,23,eSIM data plan management,0.6357
Understanding mobile plan numbers,23,eSIM data plan management,0.5515
Paying for my mobile plan,15,Downgrading paid plans,1.0
Mobile plan voice support,18,Reporting vulnerable circumstances,0.9943
Setting up voicemail,1,Card payment troubleshooting,0.7984
Bring your number to Revolut mobile,23,eSIM data plan management,0.0
Revolut mobile plans,23,eSIM data plan management,1.0
Service disruptions during transfer to Revolut,23,eSIM data plan management,0.0
Mobile plan allowance and consumption,15,Downgrading paid plans,0.7226
Transfer your Revolut number to another provider,23,eSIM data plan management,0.0
Reporting vulnerable circumstances to Revolut,18,Reporting vulnerable circumstances,1.0
How to redeem RevPoints for gift cards,12,RevPoints loyalty program,1.0
Finding your gift cards,12,RevPoints loyalty program,0.0
Shops,12,RevPoints loyalty program,0.689
Can I get a VAT invoice for my Stays booking?,12,RevPoints loyalty program,0.0
How are properties sorted?,2,Trading order types,0.0
Manage a Stays booking,12,RevPoints loyalty program,0.556
Make a Stays booking,12,RevPoints loyalty program,0.9586
What does the Experiences feature offer?,12,RevPoints loyalty program,0.8172
Purchase RevPoints in app,12,RevPoints loyalty program,1.0
Redeem RevPoints,12,RevPoints loyalty program,1.0
How to earn RevPoints,12,RevPoints loyalty program,1.0
RevPoints spare change,12,RevPoints loyalty program,0.0
What is the RevPoints loyalty program?,12,RevPoints loyalty program,1.0
Personalise RevPoints,12,RevPoints loyalty program,1.0
APP fraud reimbursement eligibility,0,Travel insurance trip coverage,0.0
Authorised Push Payment fraud reimbursement exclusions,1,Card payment troubleshooting,0.0
Authorised Push Payment fraud reimbursement requirements,5,Reporting phone and payment scams,0.0
Authorised Push Payment fraud reimbursement,5,Reporting phone and payment scams,0.0
How long will the Authorised Push Payment fraud reimbursement process take?,11,Transfer status and delays,0.0
Locked bootloader requirement for Android devices,27,Account security and fraud protection,0.0
Contacting your device manufacturer,27,Account security and fraud protection,0.0
Ensuring security by using the official Revolut app,27,Account security and fraud protection,1.0
Operating system and security updates,27,Account security and fraud protection,0.0
Security risks of root access,27,Account security and fraud protection,1.0
Unofficial (custom) firmware,27,Account security and fraud protection,0.0
Why is the Revolut app no longer supported on my device?,27,Account security and fraud protection,1.0
Review my information with CIFAS Marker,5,Reporting phone and payment scams,0.6473
Understanding the account review process,3,Identity and account verification,0.8004
Fraud and cybercrime reporting to national authorities,5,Reporting phone and payment scams,0.746
Hidden accounts and transactions,4,Joint account closure,0.0
Someone wants to give you a lot of money?,5,Reporting phone and payment scams,1.0
Strange small charges on your card?,5,Reporting phone and payment scams,0.6566
Feeling pressured or threatened?,5,Reporting phone and payment scams,1.0
Urgent text from a kid or friend?,5,Reporting phone and payment scams,1.0
Looking for a high return?,5,Reporting phone and payment scams,0.9617
Paying a bill with new bank details? ,5,Reporting phone and payment scams,1.0
Have you been offered money to move funds?,5,Reporting phone and payment scams,1.0
Received an unexpected link?,5,Reporting phone and payment scams,0.8168
Buying something online?,5,Reporting phone and payment scams,1.0
Met someone new online?,5,Reporting phone and payment scams,1.0
My phone suddenly lost signal,5,Reporting phone and payment scams,0.96
An urgent call out of the blue?,5,Reporting phone and payment scams,1.0
How can I keep my account safe from fraud?,5,Reporting phone and payment scams,0.5273
"How to report a suspicious call, email, link, or text",5,Reporting phone and payment scams,0.7821
How does Revolut keep my money safe?,19,FSCS protection for Revolut accounts,0.9003
How does Revolut protect me against fraud?,27,Account security and fraud protection,1.0
Accessing your transaction history from your Revolut account,3,Identity and account verification,0.0
What are linked wallets?,1,Card payment troubleshooting,0.0
What are Wealth Protection limits?,6,Currency exchange and withdrawal fees,0.999
Getting started with Street Mode,27,Account security and fraud protection,1.0
Limits,6,Currency exchange and withdrawal fees,1.0
Trouble with my selfie verification for Wealth Protection,3,Identity and account verification,0.9323
Getting started with Wealth Protection,27,Account security and fraud protection,0.0
What are Revolut's safety features?,27,Account security and fraud protection,1.0
What will happen to my funds if Revolut goes bankrupt?,19,FSCS protection for Revolut accounts,1.0
How do I upload a document?,3,Identity and account verification,1.0
Difficulty with selfie authentication,3,Identity and account verification,0.9285
What is my tax identification number?,20,Tax and national identification,0.9755
Confirm your personal details again,3,Identity and account verification,0.9546
Why is my incoming transfer pending?,11,Transfer status and delays,1.0
Can I cover intermediary bank fees upfront?,6,Currency exchange and withdrawal fees,0.0
"Add, edit, or delete a beneficiary",17,Managing scheduled transfers,1.0
Trusted recipients,17,Managing scheduled transfers,0.9594
Transfer I sent arrived in a different currency ,24,Currency accounts and exchange fees,1.0
Why was my transfer sent via an intermediary bank?,11,Transfer status and delays,0.0
I received a transfer from an unknown sender,17,Managing scheduled transfers,1.0
Timeframes for transfers,11,Transfer status and delays,0.5097
Bank transfer fees,21,External bank account transfers,0.0
Can I receive large bank transfers into my Revolut account?,21,External bank account transfers,0.0
Can I receive my salary into my Revolut account?,21,External bank account transfers,1.0
Locate a bank transfer sent to my Revolut account,11,Transfer status and delays,0.5763
Why did I receive less money?,21,External bank account transfers,0.0
Why was the transfer to my account reverted?,11,Transfer status and delays,1.0
Supported currencies for holding,8,Supported currencies and cards,0.7523
Switch your account to Revolut,4,Joint account closure,0.6854
What currency account details are available for me?,24,Currency accounts and exchange fees,0.0
What's Revolut's official name and address?,9,Crypto deposit troubleshooting,0.0
What account details should I use for incoming transfers?,24,Currency accounts and exchange fees,0.9848
How to transfer funds to Revolut,21,External bank account transfers,0.0
Unsupported inbound bank transfers,8,Supported currencies and cards,1.0
Difficulty adding money with an easy bank transfer,21,External bank account transfers,0.9891
Limits for transfers to other Revolut customers,21,External bank account transfers,0.0
Block or report another Revolut customer,5,Reporting phone and payment scams,0.5818
Group Bills,26,Managing Revolut Pockets,0.0
I sent a transfer to the wrong Revolut customer,17,Managing scheduled transfers,1.0
My transfer to another Revolut customer is pending,17,Managing scheduled transfers,1.0
Send or request money from other Revolut customers,21,External bank account transfers,1.0
Revtags,3,Identity and account verification,0.0
My transfer to or from someone on Revolut wasn't received,17,Managing scheduled transfers,0.6436
I'm unable to send money to another Revolut customer,3,Identity and account verification,0.0
Transferring funds to an external card,21,External bank account transfers,1.0
I want to cancel my transfer to a card,17,Managing scheduled transfers,1.0
My beneficiary has not received my card transfer,11,Transfer status and delays,1.0
Which countries can I send a card transfer to?,8,Supported currencies and cards,1.0
Why has my card transfer failed or been declined?,1,Card payment troubleshooting,0.7965
Why is my card transfer still pending?,11,Transfer status and delays,1.0
I want to cancel a bank transfer,17,Managing scheduled transfers,1.0
Locate a bank transfer sent from Revolut,11,Transfer status and delays,1.0
Why is my transfer to a bank account still pending?,11,Transfer status and delays,1.0
Why was my outbound bank transfer reverted?,11,Transfer status and delays,1.0
I can't send a transfer or create a recipient,11,Transfer status and delays,0.0
Can I make a local transfer in a different currency?,11,Transfer status and delays,0.0
Download a transfer confirmation,11,Transfer status and delays,0.0
Sending money from Revolut to a bank account,21,External bank account transfers,0.9764
Problem with a Direct Debit,1,Card payment troubleshooting,0.7985
Manage Direct Debits,17,Managing scheduled transfers,0.6156
Setting up a Direct Debit,17,Managing scheduled transfers,0.0
Sending and requesting money with a payment link,1,Card payment troubleshooting,0.8277
Why did my recipient receive less money?,21,External bank account transfers,0.0
I was asked for additional information about my transaction,3,Identity and account verification,0.9319
Unsupported transfers sent from Revolut,8,Supported currencies and cards,1.0
More help with sending money via a payment link,17,Managing scheduled transfers,1.0
Revolut.me link,1,Card payment troubleshooting,0.0
Insufficient funds for scheduled transfer,17,Managing scheduled transfers,0.0
Setting up scheduled payments to another Revolut customer,17,Managing scheduled transfers,0.0
Can I transfer money to or from Russia or Belarus?,8,Supported currencies and cards,1.0
Can I transfer money to Ukraine?,8,Supported currencies and cards,1.0
Supported currencies for outgoing transfers,8,Supported currencies and cards,0.9092
Benefits and risks of trading crypto ETNs,14,Crypto ETNs and ETPs,1.0
Get started with crypto ETNs,14,Crypto ETNs and ETPs,1.0
Get started with non-crypto ETPs,14,Crypto ETNs and ETPs,1.0
What does it mean to be a high-net-worth investor?,14,Crypto ETNs and ETPs,1.0
What does it mean to be a restricted investor?,14,Crypto ETNs and ETPs,1.0
Leveraged and inverse ETPs,14,Crypto ETNs and ETPs,0.81
What is a crypto ETN?,14,Crypto ETNs and ETPs,1.0
Get started with ETCs,14,Crypto ETNs and ETPs,1.0
Get started with ETNs,14,Crypto ETNs and ETPs,1.0
What is an Exchange-Traded Product (ETP)?,14,Crypto ETNs and ETPs,0.813
Exceeding my ISA allowance,6,Currency exchange and withdrawal fees,0.0
Investing with the Stocks and Shares ISA,20,Tax and national identification,0.8428
Stocks and Shares Individual Savings Account (ISA),20,Tax and national identification,0.0
Stocks and Shares ISA rules,20,Tax and national identification,0.0
Stocks and Shares ISA transfers,11,Transfer status and delays,0.0
What are the Stocks and Shares ISA fees?,6,Currency exchange and withdrawal fees,0.9308
What happens to my Stocks and Shares ISA if I move abroad?,3,Identity and account verification,0.0
Trading Terminal,16,Revolut crypto trading and setup,1.0
Crypto collections,16,Revolut crypto trading and setup,1.0
Accessing Revolut X,3,Identity and account verification,1.0
Revolut X top-ups and withdrawals,16,Revolut crypto trading and setup,0.8825
Get started with Revolut X,3,Identity and account verification,0.0
What types of orders can I create on Revolut X?,2,Trading order types,0.9547
About crypto unified balance,16,Revolut crypto trading and setup,1.0
Revolut X fees,6,Currency exchange and withdrawal fees,0.8971
Failed orders in Revolut X,2,Trading order types,0.5431
Why can't I trade in Revolut X?,2,Trading order types,0.0
Why is part of my Revolut X portfolio balance unavailable?,2,Trading order types,0.6425
Issues with Take Profit or Stop Loss orders,2,Trading order types,1.0
Take Profit and Stop Loss orders,2,Trading order types,1.0
Setting up a virtual crypto card,1,Card payment troubleshooting,0.8229
"Crypto payment fees, rates, and limits",6,Currency exchange and withdrawal fees,1.0
Crypto payments and how they work,16,Revolut crypto trading and setup,0.0
View your crypto card payments,16,Revolut crypto trading and setup,0.0
How does crypto staking work?,16,Revolut crypto trading and setup,0.9535
Is there a fee associated with crypto staking?,6,Currency exchange and withdrawal fees,1.0
Stake and unstake crypto,16,Revolut crypto trading and setup,0.9305
Calculation of crypto tiered pricing,6,Currency exchange and withdrawal fees,0.8596
Tier progression and account changes,6,Currency exchange and withdrawal fees,0.8649
Trading with crypto tiered pricing,6,Currency exchange and withdrawal fees,0.8508
How to make sure crypto withdrawals are processed smoothly,9,Crypto deposit troubleshooting,0.9481
How to ensure my crypto is transferred successfully?,9,Crypto deposit troubleshooting,0.7634
Crypto notifications,16,Revolut crypto trading and setup,0.0
Crypto recurring buy,2,Trading order types,0.9121
Crypto rates and spread,2,Trading order types,0.0
Fees for trading crypto,6,Currency exchange and withdrawal fees,1.0
Crypto limit order,2,Trading order types,0.9371
What is a crypto market order?,2,Trading order types,0.8799
Crypto stop order,2,Trading order types,0.9779
Crypto Learn,16,Revolut crypto trading and setup,1.0
How does converting cryptocurrency to fiat currency work?,16,Revolut crypto trading and setup,0.9949
Crypto delisting,16,Revolut crypto trading and setup,0.0
Crypto account onboarding requirements,16,Revolut crypto trading and setup,0.9645
Other crypto token information,9,Crypto deposit troubleshooting,0.5386
Revolut crypto features and products,16,Revolut crypto trading and setup,1.0
Can I set target prices for exchanging cryptocurrency?,2,Trading order types,0.9213
Receive (deposit) crypto from an external address,9,Crypto deposit troubleshooting,1.0
Return or manage crypto deposits,9,Crypto deposit troubleshooting,1.0
Failed crypto deposits,9,Crypto deposit troubleshooting,1.0
Addresses supported for withdrawing and reverting crypto deposits,9,Crypto deposit troubleshooting,1.0
Can't see my deposit in-app,9,Crypto deposit troubleshooting,1.0
Pending crypto deposits,9,Crypto deposit troubleshooting,0.6862
"Supported crypto deposit currencies, networks, and exchanges",9,Crypto deposit troubleshooting,0.7495
Do I have an individual cryptocurrency wallet?,16,Revolut crypto trading and setup,0.0
Add a new wallet to withdraw crypto,9,Crypto deposit troubleshooting,0.0
Crypto withdrawal fees,6,Currency exchange and withdrawal fees,1.0
Crypto withdrawal limits,6,Currency exchange and withdrawal fees,1.0
Cryptocurrencies and networks available for withdrawals,9,Crypto deposit troubleshooting,0.9293
Send (withdraw) crypto to an external address,9,Crypto deposit troubleshooting,1.0
Pending crypto withdrawals,9,Crypto deposit troubleshooting,0.8837
Failed crypto withdrawals,9,Crypto deposit troubleshooting,1.0
Cryptocurrency networks,9,Crypto deposit troubleshooting,0.7127
Buy and sell crypto,16,Revolut crypto trading and setup,1.0
Crypto basics,16,Revolut crypto trading and setup,1.0
Is my crypto safe with Revolut?,16,Revolut crypto trading and setup,0.0
Who provides Revolut's crypto services?,19,FSCS protection for Revolut accounts,0.0
Taxes on crypto,16,Revolut crypto trading and setup,0.8884
Koinly crypto tax reports,16,Revolut crypto trading and setup,1.0
Why do I need to name the wallet owner for withdrawals?,20,Tax and national identification,1.0
Crypto private keys and exposure on the blockchain,16,Revolut crypto trading and setup,0.0
Crypto spare change,26,Managing Revolut Pockets,0.0
What exchange rates does Revolut offer?,24,Currency accounts and exchange fees,0.0
Currency exchange fees and limits,6,Currency exchange and withdrawal fees,1.0
How do I exchange money?,24,Currency accounts and exchange fees,1.0
Currency exchange orders,2,Trading order types,0.9178
"I just made an exchange, but I can't find my money",24,Currency accounts and exchange fees,1.0
Why might my currency order fail or not execute?,2,Trading order types,0.5587
Open and manage additional currency accounts,24,Currency accounts and exchange fees,0.991
Investor related tax information,20,Tax and national identification,1.0
How does the commission-free allowance work?,6,Currency exchange and withdrawal fees,1.0
Trading orders routing,2,Trading order types,1.0
What are trading regulatory fees and taxes?,6,Currency exchange and withdrawal fees,1.0
Buying or selling commodities,2,Trading order types,0.0
"Commodities prices, rates, and fees",6,Currency exchange and withdrawal fees,1.0
Commodities supported features,19,FSCS protection for Revolut accounts,0.0
Which precious metals are supported?,8,Supported currencies and cards,0.0
Start with Revolut Ramp,16,Revolut crypto trading and setup,1.0
How can I get a full statement of my Ramp transaction?,1,Card payment troubleshooting,0.0
Pay with Revolut Ramp,16,Revolut crypto trading and setup,0.0
What are the fees for Revolut Ramp?,6,Currency exchange and withdrawal fees,0.0
I sent crypto to an incorrect wallet address. What can I do?,9,Crypto deposit troubleshooting,1.0
I was charged extra by my bank for a Ramp payment. Why?,1,Card payment troubleshooting,0.0
My Ramp payment failed. What should I do?,1,Card payment troubleshooting,0.9294
My Ramp transaction is completed but I didn't receive the funds,9,Crypto deposit troubleshooting,0.0
My Ramp payment was completed but I didn’t receive the crypto. What should I do?,9,Crypto deposit troubleshooting,0.6215
Revolut Ramp supported currencies and limits,8,Supported currencies and cards,0.0
Why did I receive less crypto than I paid for?,9,Crypto deposit troubleshooting,0.6197
Why was I charged more than I was shown?,6,Currency exchange and withdrawal fees,0.0
Advantages of investing in bonds,14,Crypto ETNs and ETPs,0.0
Get started with Bonds,16,Revolut crypto trading and setup,0.0
Bonds fees,6,Currency exchange and withdrawal fees,1.0
Bonds terms and definitions,2,Trading order types,0.0
Bond credit ratings,14,Crypto ETNs and ETPs,0.0
Buy bonds in the Revolut app,2,Trading order types,1.0
Buying a corporate bond vs buying stock in the same company,2,Trading order types,0.5229
Bond name interpretation in the Revolut app,6,Currency exchange and withdrawal fees,0.0
How does Revolut process corporate actions?,2,Trading order types,0.0
Dividends,2,Trading order types,0.5229
Merger or acquisition of a company whose shares I own,2,Trading order types,0.5411
Stock delisting,2,Trading order types,0.711
Stock split,2,Trading order types,0.5171
Trading customer support,18,Reporting vulnerable circumstances,1.0
Which Revolut Trading entity is providing me services?,19,FSCS protection for Revolut accounts,0.0
Financial ratios for company analysis,2,Trading order types,0.0
Market analysis,2,Trading order types,0.6441
OTC stocks,2,Trading order types,0.7095
Stock basics,2,Trading order types,0.5293
Stock markets,2,Trading order types,0.6437
What is a fractional share?,2,Trading order types,0.5486
What is a trading halt?,2,Trading order types,1.0
How do I update my trading account details?,3,Identity and account verification,1.0
Why are you asking me for documents to open or continue using Revolut trading?,3,Identity and account verification,0.9702
Understanding our onboarding question about affiliations,20,Tax and national identification,0.9849
Close my investment account,4,Joint account closure,0.9009
Reasons an investment account may be closed,4,Joint account closure,0.6529
How is the portfolio value calculated?,2,Trading order types,0.5301
Overview of Revolut Trading Ltd's omnibus account ,19,FSCS protection for Revolut accounts,1.0
Trading watchlist and price alerts,2,Trading order types,0.0
"Trading account information, statements and reports",25,Download account statements,1.0
Trade confirmation statements,25,Download account statements,0.0
Fund my investment account,24,Currency accounts and exchange fees,1.0
Using your credit card or a personal loan to trade stocks,14,Crypto ETNs and ETPs,0.0
How to withdraw funds from my investment account,2,Trading order types,0.0
Open an investment account,20,Tax and national identification,1.0
Can I transfer my account from another broker?,11,Transfer status and delays,0.0
Why does Revolut need my national identifier?,20,Tax and national identification,1.0
What information do I need to provide to onboard to trading?,20,Tax and national identification,1.0
What is an execution-only service?,2,Trading order types,0.9966
What is a Special Purpose Acquisition Company (SPAC)?,14,Crypto ETNs and ETPs,0.5242
American depositary receipts (ADRs) and pass-through fees,6,Currency exchange and withdrawal fees,1.0
Products available to trade,14,Crypto ETNs and ETPs,0.6207
Can I have a trading account if I’m a US Person?,20,Tax and national identification,1.0
Who is Revolut Trading Ltd authorised by?,19,FSCS protection for Revolut accounts,0.1704
What are non-tradable securities?,2,Trading order types,0.5074
Do I own my stocks?,2,Trading order types,0.5225
How are my investments with Revolut protected?,19,FSCS protection for Revolut accounts,1.0
How are the funds in my investment account protected?,19,FSCS protection for Revolut accounts,1.0
What does capital at risk mean?,14,Crypto ETNs and ETPs,0.6842
Buy order block,2,Trading order types,1.0
Pending trading orders,2,Trading order types,1.0
Close a stock position,2,Trading order types,0.5066
How to place a stock order,2,Trading order types,0.9254
Can I use leverage to trade?,14,Crypto ETNs and ETPs,0.5042
What is a GTC Order and how does it work?,2,Trading order types,0.892
Trading limit orders,2,Trading order types,0.8929
What is a stop order?,2,Trading order types,1.0
Trading order types,2,Trading order types,0.954
Top Movers,2,Trading order types,0.6572
Security prices,2,Trading order types,0.7503
What are Revolut's trading fees?,6,Currency exchange and withdrawal fees,1.0
Trading value limits,2,Trading order types,0.679
Why is my stock on 'sell only'?,2,Trading order types,0.7386
Orders submitted during extended hours trading,2,Trading order types,0.9542
Extended hours trading risks,2,Trading order types,0.983
How extended hours trading works,2,Trading order types,0.9039
What is a trading day?,2,Trading order types,0.9879
Trading hours,2,Trading order types,0.8208
What are the fees for Trading Pro?,6,Currency exchange and withdrawal fees,1.0
What is Trading Pro?,6,Currency exchange and withdrawal fees,0.9642
