title,keywords
What happens if my joint account balance goes negative?,"negative balance, joint account, revolut services, payment delayed, happens"
Revolut closed my joint account,"joint account, account conditions, revolut closed, conditions closing, verification checks"
Difficulty logging in,"revolut account, number guidance, change passcode, difficulty selfie, log issues"
Change passcode,"passcode revolut, revolut mobile, account change, identity selfie, tap forgot"
I lost access to my passkey,"revolut passcode, revoke passkey, lost access, 2fa factor, apple google"
Duplicate account,"account duplicate, revolut 18, personal business, close mobile, countries faq"
Log in with a new phone number,"revolut app, number change, account tap, passcode selfie, lost access"
Lost or stolen device,"app revolut, device lost, help secure, change passcode, identity selfie"
Sign in with face ID or fingerprint,"revolut app, ios biometrics, app authorising, enable face, fingerprint enhance"
What are passkeys?,"passkeys, securely apple, revolut app, icloud google, collaboratively developed"
Download your account confirmation,"confirmation documents, iban account, wallet reference, code bic, date birth"
Download an account statement for a specific currency,"currency statement, revolut app, details account, code bic, copy documents"
How to download a card confirmation document,"confirmation documents, document revolut, download card, revolut mobile, cardholder personal"
Download a cryptocurrency statement,"cryptocurrency statements, revolut app, download cryptocurrency, transactions download, copy documents"
Documents for a closed account ,"revolut app, documents closed, account statement, passcode, tap lost"
Get a Pockets statement,"pockets statement, currency account, generate account, tap export, pdf excel"
Download transaction or top-up statement,"statement download, revolut com, transactions specific, plan fee, number iban"
Download statement of fees,"fees statement, revolut kids, account refunded, electronically generated, copy documents"
How to download a subject access request document,"requested documents, subject access, revolut account, details digits, expiry date"
How can I download trading statements and reports?,"trading statements, app revolut, information account, requested documents, costs charges"
Why are my statement balance and in-app balance different?,"statement balance, revolut com, check currency, transactions app, update app"
What is the consolidated statement?,"consolidated statement, download revolut, tax information, understand declare, requirements use"
Cancelling your scheduled plan downgrade,"plan downgrade, cancelling scheduled, revolut app, break fees, refund ending"
Downgrading your paid plan,"plan downgrade, revolut app, paid plans, specific card, refunds paid"
Paid plan downgrade fees ,"downgrade fees, fee paid, refund subscription, revolut com, months plan"
Changing your paid plan billing date,"changing paid, billing date, reset billing, downgrade plan, revolut com"
Managing your paid plan billing,"revolut app, plan billing, managing paid, details tap, annual switch"
Pay for your missed plan payment,"missed paid, payment settle, revolut com, plan fees, subscription downgrade"
Your paid plan subscription end date,"end date, paid plans, downgrade monthly, renews automatically, revolut com"
Next payment date for your paid plan,"payments month, plan billing, revolut com, plan view, yearly learn"
Paid plan payment status,"revolut app, payment status, transaction view, plan fee, details download"
Chess.com,"subscribed platinum, access chess, membership ultra, revolut com, plan benefits"
ClassPass,"classpass metal, gym credits, ultra customers, revolut app, access benefit"
Financial Times,"times subscription, firstft newsletter, revolut benefit, ft com, metal ultra"
Freeletics,"freeletics subscription, revolut benefit, hiit training, ultra customers, app cancellation"
Headspace,"headspace premium, activate benefit, end revolut, subscription difficulties, metal ultra"
Headway,"headway subscription, activation link, revolut, learn cancellation, app tap"
MasterClass,"masterclass subscription, revolut app, metal ultra, future codes, access benefit"
NordVPN,"nordvpn subscription, subscription revolut, revolut issued, changes premium, metal ultra"
Perplexity,"perplexity subscription, months premium, revolut plan, ultra customers, duration metal"
Picsart,"picsart subscription, revolut benefit, pro unlock, metal ultra, app expires"
How do I access a partner benefit?,"revolut app, partner benefits, benefits tap, accessing, plan follow"
Laundryheap,"laundryheap subscription, revolut app, location credits, birmingham edinburgh, premium metal"
What happens to my partner benefits if I change my plan?,"partner benefits, benefits change, revolut plan, upgrade downgrade, changes access"
What are partner benefits?,"partner benefits, revolut, subscriptions credits, app details, lifestyle productivity"
Sleep Cycle,"sleepcycle com, revolut benefit, intelligent alarm, metal ultra, phase visualise"
The Athletic,"athletic subscription, football oli, metal ultra, revolut com, available ios"
Tinder,"tinder subscription, revolut benefit, plus premium, metal ultra, cancel day"
Turo rewards,"turo rewards, cardholders redeem, ultra plan, contact revolut, activation link"
Uber One,"uber subscription, country revolut, metal ultra, attempting activate, eligibility benefit"
WeWork,"wework subscription, revolut benefit, code booking, metal ultra, active australia"
Discounts for loyal customers,"discounts loyal, renewal discount, plan renewal, paid plan, eligible promotions"
Promotional and free trials,"downgrade promotion, trial period, revolut com, activate enrolment, plan fee"
Order a paid plan card,"revolut app, card order, paid plans, ordering new, tap add"
Metal plan,"cost metal, revolut com, plan benefits, transfer fees, everyday card"
Plus plan,"revolut plus, plan costs, benefits withdraw, month everyday, aer variable"
Premium plan,"revolut premium, plan costs, insurance exclusive, everyday protection, aer variable"
Standard plan,"revolut com, plans pricing, withdrawals month, charged exchange, enjoy standard"
Ultra plan,"ultra plan, revolut com, month fees, benefits pagehttps, cancellation insurance"
Can I reopen my closed account?,"account reactivation, revolut account, closed account, revolut closed, reopen closed"
Switching languages in the app,"language revolut, revolut app, change language, languages app, devices change"
How do I manage notifications from Revolut?,"revolut notifications, promotion notifications, deactivate marketing, settings tap, manage"
Trouble with mobile verification code,"verification code, receiving sms, apple pay, troubleshooting tips, instead unable"
Change my address,"revolut account, change address, balance external, territory jersey, required close"
Change my date of birth,"revolut app, date birth, edit profile, isn verified, documents account"
Change my name,"change revolut, verification process, personal details, 45 minutes, profile icon"
Change my phone number,"revolut app, number change, passcode selfie, personal details, tap lost"
Change or verify email address,"revolut account, verifying email, address change, tap confirmation, profile plan"
Change my Revtag,"revtag change, account reused, customers switch, profile icon, 16 characters"
Update my tax information,"tax resident, update tin, does revolut, identification number, oecd requires"
Source of funds,"funds verification, documents source, revolut com, income wealth, upload update"
Upgrade my plan,"plan upgrade, revolut app, paid plan, billing date, opt annual"
Accepted proof of address documents,"residential documents, need verify, supported bank, vodafone accepted, monzo starling"
Documents for the source of funds verification,"funds verification, documents source, freelance income, settlement signed, duration employment"
Verify my identity,"revolut app, verify identity, documents date, submission screen, centre long"
How do I provide proof of address?,"revolut app, proof address, need update, providing rental, takes hour"
I'm unable to verify my identity,"verification identity, revolut, document rejected, updating tax, app notification"
Where you can sign up for Revolut,"revolut account, uk guernsey, countries australia, 17 years, 2026 european"
What is Revolut ID?,"revolut id, single identity, passcodes biometrics, party apps, unified view"
Managing a Revolut – Kids & Teens account,"revolut kids, teens accounts, transfer ownership, close account, adding parent"
Revolut – Kids & Teens cards,"revolut kids, teens card, pin cvv, exchange atm, payment reset"
Revolut – Kids & Teens Earn,"revolut kids, set challenges, earn parent, teens app, earnings completing"
Revolut Kids & Teens Rewards,"revolut kids, kid rewards, cashback reward, teens app, usually instant"
Revolut Kids & Teens Save,"revolut kids, saving pockets, teens app, money added, tap withdraw"
Revolut – Kids & Teens payments,"revolut kids, teens payments, minimum age, currency send, tap allow"
Add money to or withdraw from Revolut Kids & Teens account,"revolut kids, add money, teens account, transfers parents, recurring allowance"
Forgotten passcode for a Kids & Teens account,"passcode revolut, teens account, app qr, reset scanning, kid forgotten"
Graduation to the main app,"migration revolut, account kids, child transfer, 16 child, graduation main"
Kids & Teens Instant Access Savings,"kid savings, instant access, revolut com, teens mobile, fscs clearbank"
Open a Revolut – Kids & Teens account,"revolut kids, open account, teens app, currency parent, finance ios"
Revolut — Kids & Teens subscription bundles,"revolut kids, bundles subscription, app benefits, teens faqshttps, picsart sleepcycle"
Request a Revolut – Kids & Teens virtual card,"revolut kids, virtual card, existing account, teens choose, limits wait"
Revolut – Kids & Teens card management,"revolut kids, control child, card apple, spending limits, withdraw money"
Revolut Kids & Teens Payment Links,"revolut kids, teens payment, payment links, receive money, tap share"
Revolut - Kids & Teens Referrals,"revolut kids, kid invite, teens referrals, referral limit, age use"
Revolut - Kids & Teens statements,"revolut kids, teens account, account statement, iban shown, guardian legal"
What if Revolut - Kids & Teens isn't available?,"revolut kids, countries regions, isn available, croatia cyprus, luxembourg malta"
Is my private information safe?,"app revolut, security confidentiality, hash personal, protect 18, marketing purposes"
When to put gambling controls in place,"help gambling, setting limits, additional support, gamcare professional, worry guilt"
How does the gambling block work?,"gambling block, payments revolut, prevent transactions, mcc classify, timeframes enabled"
A refund or chargeback was sent to my closed account,"refund chargeback, revolut account, sent closed, email merchant, transfer process"
My account was restricted or closed,"account restricted, closed account, revolut com, details reinstatement, possible reasons"
Report a fraudulent transfer,"transfer fraud, scammer freeze, app revolut, sent external, terminate card"
What does Revolut use my data for?,"revolut services, use data, birth identity, protect fraud, number email"
How long will Revolut hold my data?,"revolut hold, retention policy, customer kyc, data deletion, minimum years"
Personal data required to create a Revolut account,"revolut account, details need, verify identity, customer privacy, profile section"
Hidden balance feature,"revolut hide, balance feature, visible shake, flip phone, setting blurs"
Why haven't I received my Referrals reward?,"referrals reward, revolut account, invitee fails, campaign qualify, days process"
Referral reward smaller than expected,"referral reward, lottery receive, card app, odds cs, smaller expected"
How to complete all steps for Referrals reward,"app revolut, referrals steps, payments invitee, reward order, complete required"
How to complete 'Make purchases' step for Referrals reward,"purchases step, referrals reward, revolut business, apple pay, invitee make"
Why hasn't my referrer received their Referrals reward?,"referrals reward, referrer didn, revolut account, missed deadline, invitee contacts"
How to add money for the Referrals reward,"app revolut, referrals reward, added money, topup tap, step incomplete"
Order a physical card for Referrals reward,"physical card, invitee orders, referrals reward, apple pay, revolut business"
Referrals reward requirements,"invite revolut, friends eligible, reward requirements, referrals screen, completes step"
Conditions for the referral campaign,"revolut invitees, referral campaign, friends eligible, card apple, reward unless"
Completing the 'Make purchases' step,"payments completed, revolut com, referrals campaigns, reversal date, requirements card"
Claiming special bonus offered by Revolut promotion,"receive bonus, revolut promotion, claiming special, payments transactions, steps required"
Missing reward from an influencer or brand signup,"signup reward, revolut com, paid bonuses, difficulty receiving, influencers online"
Promotional cashback,"promotional cashback, campaigns eligibility, revolut runs, standard plus, metal ultra"
Is physical card activation necessary before the deadline?,"physical card, activation necessary, deadline order, revolut business, invite friends"
Is a physical card required for your friend's purchases?,"friend purchases, card required, revolut business, apple pay, virtual physical"
How can my friend order a physical card?,"physical card, friend order, referral deadline, apple pay, revolut business"
How to complete 'Add Money' step,"app revolut, added money, referrals reward, step incomplete, invite friends"
"My friend added money, but I still didn’t get the reward","app revolut, referrals reward, added money, friend hasn, triggered invitees"
My friend hasn’t received the card. Will I get my reward?,"purchases friend, virtual card, revolut pro, reward issues, referrals screen"
"My friend made 3 purchases, but I didn’t get the reward","friend purchases, reward issues, revolut business, incomplete app, apple pay"
"My friend ordered a card, but I didn’t get the reward. Why?","ordered card, virtual card, reward friend, revolut business, instead physical"
What are the requirements for 3 purchases?,"purchases requirements, revolut kids, virtual card, invitee, referrals screen"
What are the requirements to get a Referrals reward?,"referrals reward, revolut eligible, invite friends, teens customers, steps need"
Why did I receive a smaller reward for a Referral than you advertised in the app?,"reward referral, random rewards, card app, amounts, cs campaign"
What is Airline Miles?,"airlines miles, loyalty programs, redeem revpoints, club finnair, revolut"
Linking your airline loyalty account,"linking airline, loyalty account, revolut app, revpoints make, miles choose"
Redeeming RevPoints with Airline Miles,"redeeming revpoints, revpoints airline, miles revpoints, airline miles, ratio 100"
Difficulty using Airline Miles,"account revpoints, relink airline, deducted miles, miles airline, problem persists"
Can I cancel an airport lounge pass? ,"passes refund, cancel airport, airport lounge, revolut app, revpoints menu"
How do I purchase an airport lounge pass?,"lounge pass, revolut app, purchasing airport, guest revpoints, ultra customers"
How do I use my airport lounge pass?,"lounge pass, dragonpass use, revolut app, using airport, qr code"
I'm having difficulty with my airport lounge pass,"lounge pass, qr code, difficulty airport, trying purchase, reasons valid"
How do I donate to Ukrainian refugees?,"revolut charity, donate ukraine, ukraine red, transfer round, refugees currently"
Making a donation through Revolut,"donation revolut, recurring donations, tap spare, cancel recurring, revpoints menu"
Spare change and recurring Donations,"donations recurring, donation rounding, revolut card, round spare, revpoints menu"
Auto-renewing an eSIM data plan,"auto renews, esim data, revolut app, revpoints used, ends plan"
Can I label my eSIM for my data plan?,"label esim, sim personal, data plan, rename, secondary"
Difficulties with eSIM,"apn esim, check truphone, active plans, revolut field, revpoints menu"
Revolut data plans,"revolut esim, data plans, 1global gigs, allows activate, refund need"
Installing and activating my eSIM,"revolut esim, installing esim, activate data, app installing, sims tap"
Managing my eSIM data plan,"revolut esim, esim remove, delete sim, plan data, app revpoints"
Supported eSIM devices,"devices esim, sim supported, iphone se, 5g physical, oldest"
Mobile plan access and payment,"pay revpoints, mobile plan, payment method, purchasing secondary, esim type"
Cancelling or rescheduling a number transfer to Revolut,"revolut cancel, number transfer, cancel number, rescheduling, esim"
Cancelling your old phone plan,"stac cancel, plan app, account closure, existing phone, 30 days"
Managing a mobile plan for a lost or stolen device,"device lost, revolut com, mobile plans, esim number, securing account"
Managing a failed number transfer,"transfer failure, provider revolut, restart number, pac code, mismatched information"
Managing a number transfer to Revolut,"number transferring, revolut long, esim temporary, days switch, lose service"
Managing mobile plans and add-ons,"revolut mobile, cancelling plan, activate esim, months failed, stac"
Understanding mobile plan numbers,"number revolut, mobile plans, esim, transfer secondary, provider random"
Paying for my mobile plan,"payments revpoints, mobile plan, revolut main, using funds, monthly secondary"
Mobile plan voice support,"contact revolut, complaints voice, mobile plan, support types, request porting"
Setting up voicemail,"setting voicemail, voicemail pin, create pin, greeting changing, 121 phone"
Bring your number to Revolut mobile,"revolut transfer, number transfer, vip number, number cost, plan app"
Revolut mobile plans,"revolut prepaid, eea unlimited, plan cost, esim data, speed 4g"
Service disruptions during transfer to Revolut,"revolut transfer, interruption transfer, number replaced, imessage facetime, esim"
Mobile plan allowance and consumption,"roaming allowances, consumption check, check mobile, remaining data, revpoints menu"
Transfer your Revolut number to another provider,"number transfers, revolut mobile, pac app, expire 30, billing period"
Reporting vulnerable circumstances to Revolut,"vulnerable circumstances, revolut com, impairment financial, finances interactions, alcoholism gambling"
How to redeem RevPoints for gift cards,"revpoints redeem, revolut com, card using, auto applied, types gift"
Finding your gift cards,"revolut card, finding gift, previously redeemed, revpoints menu, following app"
Shops,"store revolut, use shops, apply revpoints, pay apple, online offer"
Can I get a VAT invoice for my Stays booking?,"vat invoices, vrbo revolut, pay bookings, chat document, including base"
How are properties sorted?,"properties sorted, guest rating, ordered expensive, price competitiveness, success commission"
Manage a Stays booking,"bookings vrbo, manage stays, revolut app, revpoints menu, cancel change"
Make a Stays booking,"booking revpoints, use revolut, make stays, property earn, pay rooms"
What does the Experiences feature offer?,"booking revolut, experiences feature, app revpoints, tours tickets, earn balance"
Purchase RevPoints in app,"purchase revpoints, recurring purchases, app pay, reset month, tap deactivate"
Redeem RevPoints,"revpoints redeem, revolut pay, transfer airline, air miles, booking stays"
How to earn RevPoints,"earning revpoints, revolut shops, earn spend, loyalty faq, transactions using"
RevPoints spare change,"revpoints spare, coffee gbp, revolut, change payments, multiplier tap"
What is the RevPoints loyalty program?,"earn revpoints, revpoints revolut, revolut loyalty, balance closing, app chat"
Personalise RevPoints,"revpoints personalisation, rewards use, revolut account, data pseudonymised, country age"
APP fraud reimbursement eligibility,"revolut account, reimbursement eligibility, app fraud, authorised push, 000 microenterprises"
Authorised Push Payment fraud reimbursement exclusions,"reimbursement exclusions, payment genuine, unions payments, authorised push, overseas account"
Authorised Push Payment fraud reimbursement requirements,"revolut scam, reimbursement requirements, push payment, fraud timeframe, checks prevent"
Authorised Push Payment fraud reimbursement,"scam authorised, authorised push, push payment, reimbursement, app"
How long will the Authorised Push Payment fraud reimbursement process take?,"fraud reimbursement, push payment, reporting time, process claim, long authorised"
Locked bootloader requirement for Android devices,"unlocked bootloader, requirement android, relock, developer options, manufacturer official"
Contacting your device manufacturer,"manufacturer support, device related, firmware technical, getting expert, bootloader restoring"
Ensuring security by using the official Revolut app,"revolut app, ensuring security, sources apps, official store, install update"
Operating system and security updates,"security updates, keeps device, weaknesses mobile, guides apple, check manufacturer"
Security risks of root access,"root access, device risk, android security, reasons revolut, does enabling"
Unofficial (custom) firmware,"firmware unofficial, platform security, replacing custom, manufacturers certified, google android"
Why is the Revolut app no longer supported on my device?,"revolut app, supported device, integrity requirements, app security, locked bootloaderhttps"
Review my information with CIFAS Marker,"cifas warning, marker disputes, revolut com, fraud prevention, organisation database"
Understanding the account review process,"account review, regulated financial, ensure compliance, reviews understand, activities temporarily"
Fraud and cybercrime reporting to national authorities,"fraud uk, cybercrime reporting, actionfraud police, report action, national centre"
Hidden accounts and transactions,"accounts hidden, revolut allows, transactions security, hide tap, asked biometric"
Someone wants to give you a lot of money?,"legitimate windfall, scammers insist, gbp 50, fees payment, unexpected email"
Strange small charges on your card?,"small charges, bin attack, penny tests, revolut app, fraud known"
Feeling pressured or threatened?,"pressured threatened, support scammers, claim arrest, payment mind, tax court"
Urgent text from a kid or friend?,"urgent text, financial transfer, gbp 200, scammers hacked, actual daughter"
Looking for a high return?,"investing verify, high return, ads scammers, highly wary, telegram whatsapp"
Paying a bill with new bank details? ,"invoice intercepted, scammers use, paying new, supplier bank, verify details"
Have you been offered money to move funds?,"stolen funds, requests scammers, fee transfer, use personal, job offer"
Received an unexpected link?,"likely scam, revolut, gbp shipping, identity messages, link login"
Buying something online?,"buying online, seller pressure, scammers lure, console sold, transaction bypass"
Met someone new online?,"romance scam, talking trusted, online feels, bombing wary, told engineer"
My phone suddenly lost signal,"phone stolen, sim pin, swaps protect, network glitch, asleep signal"
An urgent call out of the blue?,"scam occurs, urgent blue, revolut app, passcode otp, caller tools"
How can I keep my account safe from fraud?,"secure revolut, fraud suspicious, account stop, selecting card, freeze tapping"
"How to report a suspicious call, email, link, or text","revolut app, report fraudulent, scam secure, check email, calls carried"
How does Revolut keep my money safe?,"revolut safeguard, uk money, customers money, bank licence, safety features"
How does Revolut protect me against fraud?,"revolut protect, fraudsters secure, app fraud, layer security, transactions virtual"
Accessing your transaction history from your Revolut account,"revolut account, account closed, transaction history, keeping document, app tap"
What are linked wallets?,"linked wallets, revolut cards, apple wallet, wallet garmin, app tap"
What are Wealth Protection limits?,"limits revolut, wealth protection, atm withdrawals, transfers account, funds leave"
Getting started with Street Mode,"street mode, trusted location, revolut app, protection transfers, limit number"
Limits,"atm limit, withdrawal limits, withdraw atms, daily withdrawal, timeframe"
Trouble with my selfie verification for Wealth Protection,"selfie verification, revolut, wealth protection, valid expired, temporarily restrict"
Getting started with Wealth Protection,"protection revolut, mode wealth, transfer withdrawal, street mode, set biometric"
What are Revolut's safety features?,"revolut safety, card safe, unique biometrics, app account, regulations meaning"
What will happen to my funds if Revolut goes bankrupt?,"revolut keeps, savings deposited, safeguarding funds, asset accounts, bankruptcy affect"
How do I upload a document?,"identity document, upload document, tap verify, live picture, account choose"
Difficulty with selfie authentication,"difficulty selfie, verification step, revolut poor, access wasn, hat wig"
What is my tax identification number?,"tax identification, tin region, exactly number, country called, oecd websitehttps"
Confirm your personal details again,"confirming details, kyc cdd, account temporarily, identity secure, restricted asked"
Why is my incoming transfer pending?,"transfer pending, revolut speed, arrive timeframes, reasons reverted, status means"
Can I cover intermediary bank fees upfront?,"international payment, revolut com, fee guarantees, banks deduct, flat upfront"
"Add, edit, or delete a beneficiary","beneficiary add, delete beneficiary, recipient tap, iban account, tap delete"
Trusted recipients,"trusted payee, recipients means, factor authentication, subsequent transactions, contact app"
Transfer I sent arrived in a different currency ,"currency transfer, revolut example, gbp exchange, isn beneficiary, arrived different"
Why was my transfer sent via an intermediary bank?,"intermediary bank, payments revolut, transfer time, faqentrypoint, meet edt"
I received a transfer from an unknown sender,"transfer unknown, returning money, sender receive, help account, live agent"
Timeframes for transfers,"timeframes transfers, sending gbp, revolut com, faster payments, bacs business"
Bank transfer fees,"revolut fees, international transfers, send bank, inside sepa, doesn charge"
Can I receive large bank transfers into my Revolut account?,"transfers revolut, transfers limits, account maximum, receiving large, apple pay"
Can I receive my salary into my Revolut account?,"revolut account, receiving salary, transfers fees, topup method, aud cad"
Locate a bank transfer sent to my Revolut account,"transfer tracker, reaches revolut, bank meantime, timeframe, didn arrive"
Why did I receive less money?,"transfers fees, revolut doesn, receiving bank, applied exchange, charged international"
Why was the transfer to my account reverted?,"reverted transfer, revolut mobile, receiving bank, timeframe, update tax"
Supported currencies for holding,"supported currencies, hold exchange, revolut cryptocurrency, withdrawals spending, cad chf"
Switch your account to Revolut,"switch revolut, days transfer, debit payments, service account, salary pension"
What currency account details are available for me?,"details revolut, currency account, gbp local, transfers app, number swift"
What's Revolut's official name and address?,"revolut address, local gbp, swift transfers, sepa, south colonnade"
What account details should I use for incoming transfers?,"bank details, currency transfer, revolut official, use swift, bic"
How to transfer funds to Revolut,"revolut timeframes, transfer money, fees faq, transactionsrevolut app, tracker access"
Unsupported inbound bank transfers,"unsupported countries, transfers barbados, belarus cuba, mlt inr, maarten sxm"
Difficulty adding money with an easy bank transfer,"revolut account, external banks, difficulty adding, iban redirected, cause payment"
Limits for transfers to other Revolut customers,"transfer limits, revolut app, extra checks, high payment, base currency"
Block or report another Revolut customer,"remove revolut, revolut contacts, block person, customer tap, group pockets"
Group Bills,"group bills, revolut faq, tap create, manage shared, owes invite"
I sent a transfer to the wrong Revolut customer,"wrong revolut, sent money, customer transfers, cancel sent, messages recipient"
My transfer to another Revolut customer is pending,"cancelling transfer, revolut customer, recipient revtag, select pending, app transfer"
Send or request money from other Revolut customers,"revolut friend, help transactions, transfer limits, recipient tap, send request"
Revtags,"manage revtag, revolut, privacy tap, discoverable, profile icon"
My transfer to or from someone on Revolut wasn't received,"revolut support, finding transfer, recipient forgotten, tap lost, passcode phone"
I'm unable to send money to another Revolut customer,"transfers disabled, revolut customers, recipient problem, app topup, verify identity"
Transferring funds to an external card,"card transfers, app revolut, funds external, europe fees, timeframes sending"
I want to cancel my transfer to a card,"cancel transfer, app revolut, mistake sending, card duplicate, incorrect fastest"
My beneficiary has not received my card transfer,"delay transferring, funds arrive, revolut com, received card, tap help"
Which countries can I send a card transfer to?,"transfers cards, send international, supported countries, prepaid debit, menu tap"
Why has my card transfer failed or been declined?,"transfer rejected, card transfers, app revolut, closed recipient, reasons card"
Why is my card transfer still pending?,"transfer pending, revolut com, instant card, transactionsrevolut app, reviewed time"
I want to cancel a bank transfer,"cancel transfer, revolut customer, transactionsrevolut app, details changing, international swift"
Locate a bank transfer sent from Revolut,"transfer pending, revolut com, recipient banks, sentrevolut app, reverted time"
Why is my transfer to a bank account still pending?,"transfer pending, revolut com, reverted funds, 72 hours, bank track"
Why was my outbound bank transfer reverted?,"reverted transfer, bank rejected, outbound bank, sent stopped, reasons"
I can't send a transfer or create a recipient,"failed transfers, creating recipient, reasons revolut, wait verification, iban"
Can I make a local transfer in a different currency?,"international transfers, currencies local, processing time, swift fees, bank different"
Download a transfer confirmation,"transfer confirmations, revolut com, international swift, reference numbers, mt 103"
Sending money from Revolut to a bank account,"transfer revolut, sending money, countries currencies, timeframes sending, app learn"
Problem with a Direct Debit,"debit insufficient, revolut app, currency funds, dispute direct, didn trigger"
Manage Direct Debits,"debit revolut, manage direct, scheduled payments, change date, tap cancel"
Setting up a Direct Debit,"direct debits, revolut account, fees setting, tap eur, specialised support"
Sending and requesting money with a payment link,"link revolut, link payment, payments request, money sender, limits sending"
Why did my recipient receive less money?,"revolut fees, transfers different, reasons recipient, transactionsrevolut app, app sending"
I was asked for additional information about my transaction,"transaction verification, identity submit, asked additional, compliance need, financial practices"
Unsupported transfers sent from Revolut,"unsupported countries, international transfers, revolut, currencies afn, angola antarctica"
More help with sending money via a payment link,"link payment, transfer fraud, transaction cancelled, isn revolut, tap cancel"
Revolut.me link,"link revolut, revolut limits, card payments, limits receive, tap create"
Insufficient funds for scheduled transfer,"transfer fail, pocket transfer, insufficient funds, currency account, assigned pocket"
Setting up scheduled payments to another Revolut customer,"payments revolut, scheduled transfers, tap send, setting scheduled, qr"
Can I transfer money to or from Russia or Belarus?,"belarus revolut, transfers russia, revolut does, russia belarus, currently support"
Can I transfer money to Ukraine?,"transfers ukraine, regions crimea, kherson luhansk, fees faq, learn bank"
Supported currencies for outgoing transfers,"supported currencies, transfers mauritius, barbados curaçao, maarten chf, philippines vietnam"
Benefits and risks of trading crypto ETNs,"etn risk, investment risky, investing crypto, benefits trading, terms revolut_trading_ltd"
Get started with crypto ETNs,"crypto etns, shares isa, classification revolut, exchange accessed, high risk"
Get started with non-crypto ETPs,"etps access, etcs crypto, complex exchange, assess investments, appropriateness test"
What does it mean to be a high-net-worth investor?,"high net, investor restricted, crypto etns, certify qualify, client classification"
What does it mean to be a restricted investor?,"restricted investor, high risk, etns required, cryptoassets bitcoin, definitions net"
Leveraged and inverse ETPs,"leveraged etps, etp inverse, short term, day inverse, intended primarily"
What is a crypto ETN?,"crypto etn, cryptoasset investors, difference cryptoassets, investor protection, fscs investment"
Get started with ETCs,"commodities etcs, investment account, counterparty risk, backed means, different types"
Get started with ETNs,"invest etn, traded notes, issuer means, credit risk, classes difficult"
What is an Exchange-Traded Product (ETP)?,"etp type, exchange traded, investments etfs, underlying asset, considered complex"
Exceeding my ISA allowance,"exceeding isa, isa allowance, hmrc, finance lifetime, revolut stocks"
Investing with the Stocks and Shares ISA,"shares isa, invest revolut, funds etfs, contributions stocks, current account"
Stocks and Shares Individual Savings Account (ISA),"shares isa, revolut stocks, tax efficient, time flexible, old uk"
Stocks and Shares ISA rules,"shares isa, contribution limits, revolut time, innovative finance, exempt uk"
Stocks and Shares ISA transfers,"isa transfers, transfers stocks, revolut stocks, fees stocks, initiate outbound"
What are the Stocks and Shares ISA fees?,"isa fees, revolut read, plan allowance, maintaining stocks, commission"
What happens to my Stocks and Shares ISA if I move abroad?,"isa abroad, revolut com, verify address, hmrc documentation, open stocks"
Trading Terminal,"trading terminal, revolut invest, does web, access accounts, app security"
Crypto collections,"crypto collections, revolut app, minimum investment, defi related, usage fee"
Accessing Revolut X,"revolut passcode, revolut provides, 2fa, phone accessing, confirming time"
Revolut X top-ups and withdrawals,"withdraw revolut, gbp using, deposits external, app crypto, sending receiving"
Get started with Revolut X,"using revolut, legal crypto, platform start, id identity, 18 years"
What types of orders can I create on Revolut X?,"revolut order, orders create, sell cancelling, trading, select type"
About crypto unified balance,"balance revolut, crypto balance, crypto unified, withdrawing crypto, migration date"
Revolut X fees,"revolut fees, currency xrp, exchange withdraw, trading rules, xtz algo"
Failed orders in Revolut X,"failed orders, exchange limit, insufficient funds, revolut common, reasons"
Why can't I trade in Revolut X?,"revolut insufficient, trading rules, buying crypto, available asset, happens maintenance"
Why is part of my Revolut X portfolio balance unavailable?,"revolut order, locked balances, portfolio balance, order pending, cancel limit"
Issues with Take Profit or Stop Loss orders,"loss orders, price fluctuate, crypto range, cancelled couldn, range pause"
Take Profit and Stop Loss orders,"loss orders, profit stop, trading fees, revolut com, triggered changed"
Setting up a virtual crypto card,"pay crypto, virtual card, virtual crypto, apple pay, revolut business"
"Crypto payment fees, rates, and limits","exchange limits, crypto payment, revolut uses, atm withdrawal, usage fees"
Crypto payments and how they work,"payment crypto, revolut deduct, transaction declined, cash accounts, setting virtual"
View your crypto card payments,"crypto payments, revolut card, view crypto, transactions list, tap generate"
How does crypto staking work?,"apy staking, token rewards, work blockchains, lockup period, cosmos atom"
Is there a fee associated with crypto staking?,"fees staking, validator fee, revolut doesn, deducted chain, apy"
Stake and unstake crypto,"staking revolut, app crypto, tokens lock, tap unstake, help centre"
Calculation of crypto tiered pricing,"crypto tiered, pricing calculate, sell usdt, revolut com, gmt counts"
Tier progression and account changes,"tier shift, progression account, revolut crypto, volume transactions, exchange fees"
Trading with crypto tiered pricing,"crypto tiered, fees trading, revolut com, volume benefit, app faq"
How to make sure crypto withdrawals are processed smoothly,"crypto withdrawals, genuine transfers, revolut designed, making sure, cancelled impact"
How to ensure my crypto is transferred successfully?,"revolut deposit, ensure crypto, genuine transfers, withdrawal trigger, completed minute"
Crypto notifications,"volatility notification, crypto notifications, widget rates, revolut app, crypto price"
Crypto recurring buy,"recurring buy, btc monthly, crypto purchases, deactivate crypto, transaction cancelled"
Crypto rates and spread,"crypto rates, volatility buying, vwap averages, higher bid, called spread"
