title,topic_1,label_1,topic_2,label_2,p1,p2,margin
Upgrade my plan,37,Plan billing and payments,57,Downgrading paid plans,0.421,0.162,0.259
What are the limits of cover and deductibles?,14,Cancel for any reason protection,15,Purchase insurance coverage,0.511,0.251,0.26
Report a card payment as a scam or fraud,62,Report fraudulent transactions,51,APP scam reimbursement,0.45,0.19,0.26
Crypto Learn,3,Crypto account setup and security,50,Crypto card payments and Ramp,0.413,0.154,0.26
Can I accept payments with Revolut Pro?,12,Accepting payments with Revolut,48,Revolut Pro account features,0.49,0.229,0.262
Fees for card payments in a foreign currency,18,18_limits_withdrawal_atm_fees,6,Accessing plan partner subscriptions,0.383,0.121,0.262
"My friend added money, but I still didn’t get the reward",2,Referral purchase requirements,60,60_deposit_card_pay_topup,0.365,0.103,0.262
Cover for sports and activities,1,Revolut travel insurance coverage,15,Purchase insurance coverage,0.47,0.206,0.263
Why was my card payment declined if I have enough funds?,58,Card payment declined,27,Group Pockets,0.386,0.123,0.263
Open an investment account,17,Tax and national identification,21,Identity and address verification,0.385,0.122,0.263
What happens once the gifted paid plan duration ends?,40,Gifting paid plans to friends,37,Plan billing and payments,0.428,0.164,0.264
How do I get the Clear Sky debit card?,13,Ordering a physical card,59,Spare change round ups,0.45,0.186,0.265
Am I covered by Ultra trip cancellation protection if I need to cancel a flight while abroad?,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.552,0.287,0.265
"Now that Revolut is a bank, how is my money protected?",20,FSCS protection for accounts,28,Moving accounts to Revolut Bank,0.387,0.121,0.266
Sending and requesting money with a payment link,12,Accepting payments with Revolut,23,Canceling transfers and payment links,0.385,0.119,0.266
Dividends,49,Stocks and Shares ISA rules,31,Stock investing fundamentals,0.465,0.198,0.267
Send (withdraw) crypto to an external address,8,Crypto deposit troubleshooting,18,18_limits_withdrawal_atm_fees,0.439,0.171,0.268
My transfer to another Revolut customer is pending,23,Canceling transfers and payment links,19,Transfer status and tracking,0.47,0.201,0.268
Sales using a Revolut Pro product catalogue,46,Scheduled transfers and custom categories,48,Revolut Pro account features,0.45,0.182,0.268
Buying or selling commodities,0,Trading order types,42,Currency accounts and exchange rates,0.481,0.212,0.269
Claiming after Premium travel insurance removal,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.411,0.138,0.273
Difference between limited and full access to the web app,5,Lost phone number login,3,Crypto account setup and security,0.382,0.108,0.274
Why is Revolut becoming a bank in the UK?,20,FSCS protection for accounts,53,Account transition impact,0.476,0.202,0.274
Travel insurance coverage,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.458,0.182,0.275
Locate a bank transfer sent to my Revolut account,19,Transfer status and tracking,7,Adding money via bank transfer,0.458,0.182,0.276
Why was my ATM withdrawal declined?,58,Card payment declined,18,18_limits_withdrawal_atm_fees,0.487,0.209,0.277
Revolut Business,48,Revolut Pro account features,22,Joint account management,0.401,0.124,0.277
Why is my stock on 'sell only'?,31,Stock investing fundamentals,0,Trading order types,0.491,0.213,0.278
Can I cancel or edit a card order?,13,Ordering a physical card,44,Replace reactivate or fix cards,0.422,0.143,0.279
Auto top-ups,60,60_deposit_card_pay_topup,66,Card top-up restrictions,0.391,0.11,0.281
Confirm your personal details again,63,Personal data privacy and retention,17,Tax and national identification,0.437,0.156,0.281
Add money with a bank transfer,7,Adding money via bank transfer,19,Transfer status and tracking,0.476,0.194,0.282
Report a fraudulent ATM withdrawal,62,Report fraudulent transactions,70,Reporting fraud and suspicious activity,0.45,0.169,0.282
Switch your account to Revolut,34,Mobile number transfers,46,Scheduled transfers and custom categories,0.479,0.196,0.284
Revolut – Kids & Teens cards,10,Kids and teens account management,33,Apple Pay and Card Security,0.392,0.107,0.284
How to set up Direct Debits in Pro,46,Scheduled transfers and custom categories,48,Revolut Pro account features,0.467,0.182,0.285
Add money with an easy bank transfer,7,Adding money via bank transfer,19,Transfer status and tracking,0.403,0.118,0.285
RevPoints spare change,59,Spare change round ups,9,RevPoints earning and redemption,0.628,0.341,0.286
How to cancel a dispute,67,Dispute and refund status,23,Canceling transfers and payment links,0.53,0.244,0.286
How are the funds in my investment account protected?,20,FSCS protection for accounts,54,Revolut service providers and regulation,0.548,0.261,0.287
Travel insurance for areas affected by conflict,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.481,0.194,0.287
Problems with my card PIN,33,Apple Pay and Card Security,44,Replace reactivate or fix cards,0.405,0.116,0.289
Completing the 'Make purchases' step,2,Referral purchase requirements,38,Pending and delayed card payments,0.528,0.239,0.289
Can I get a VAT invoice for my Stays booking?,9,RevPoints earning and redemption,21,Identity and address verification,0.459,0.168,0.291
My Ramp payment failed. What should I do?,58,Card payment declined,50,Crypto card payments and Ramp,0.411,0.12,0.291
Setting up voicemail,33,Apple Pay and Card Security,5,Lost phone number login,0.564,0.273,0.291
Reasons an investment account may be closed,22,Joint account management,17,Tax and national identification,0.398,0.107,0.292
I can't send a transfer or create a recipient,19,Transfer status and tracking,23,Canceling transfers and payment links,0.507,0.213,0.293
Revolut mobile plans,26,eSIM data plan management,34,Mobile number transfers,0.427,0.132,0.295
Buy bonds in the Revolut app,55,Bond investment basics,0,Trading order types,0.423,0.128,0.295
Products available to trade,11,Exchange Traded Products,31,Stock investing fundamentals,0.437,0.141,0.296
What's not covered under purchase insurance?,15,Purchase insurance coverage,14,Cancel for any reason protection,0.494,0.197,0.296
How does crypto staking work?,3,Crypto account setup and security,11,Exchange Traded Products,0.43,0.134,0.296
How do I make a protection insurance claim?,15,Purchase insurance coverage,14,Cancel for any reason protection,0.504,0.208,0.296
What does Revolut use my data for?,63,Personal data privacy and retention,16,Download account statements,0.413,0.116,0.297
Revolut crypto features and products,3,Crypto account setup and security,8,Crypto deposit troubleshooting,0.437,0.14,0.297
How do I access a partner benefit?,6,Accessing plan partner subscriptions,57,Downgrading paid plans,0.498,0.202,0.297
I ordered a card and it didn't arrive,13,Ordering a physical card,44,Replace reactivate or fix cards,0.443,0.146,0.297
What happens to my Stocks and Shares ISA if I move abroad?,49,Stocks and Shares ISA rules,21,Identity and address verification,0.462,0.163,0.299
Fees for trading crypto,47,Crypto trading fee tiers,18,18_limits_withdrawal_atm_fees,0.469,0.17,0.299
Receiving paid plan gifts,40,Gifting paid plans to friends,37,Plan billing and payments,0.495,0.195,0.3
What's the excess for purchase insurance claims?,15,Purchase insurance coverage,1,Revolut travel insurance coverage,0.511,0.21,0.301
Pending crypto withdrawals,8,Crypto deposit troubleshooting,18,18_limits_withdrawal_atm_fees,0.481,0.179,0.301
"I just made an exchange, but I can't find my money",42,Currency accounts and exchange rates,27,Group Pockets,0.433,0.131,0.302
Manage my deposit cards,60,60_deposit_card_pay_topup,66,Card top-up restrictions,0.419,0.117,0.302
Get started with ETNs,11,Exchange Traded Products,55,Bond investment basics,0.499,0.197,0.302
Why do I need to name the wallet owner for withdrawals?,41,Virtual card usage and limits,8,Crypto deposit troubleshooting,0.529,0.227,0.302
What is a crypto ETN?,11,Exchange Traded Products,20,FSCS protection for accounts,0.471,0.168,0.303
Standard plan,52,Compare Revolut paid plans,18,18_limits_withdrawal_atm_fees,0.415,0.11,0.304
Emergency medical assistance abroad,1,Revolut travel insurance coverage,25,Pet insurance policy management,0.471,0.164,0.306
Get started with ETCs,11,Exchange Traded Products,55,Bond investment basics,0.538,0.232,0.306
My card deposit didn't work,60,60_deposit_card_pay_topup,7,Adding money via bank transfer,0.423,0.114,0.309
Refund protection coverage,15,Purchase insurance coverage,14,Cancel for any reason protection,0.457,0.147,0.31
Limits for transfers to other Revolut customers,7,Adding money via bank transfer,42,Currency accounts and exchange rates,0.478,0.168,0.31
Who provides Revolut's everyday protection insurance?,15,Purchase insurance coverage,14,Cancel for any reason protection,0.462,0.15,0.313
Difficulty logging in,5,Lost phone number login,34,Mobile number transfers,0.443,0.13,0.313
Close a stock position,0,Trading order types,31,Stock investing fundamentals,0.49,0.177,0.313
What card brands and types can I get?,4,Supported currencies and cards,66,Card top-up restrictions,0.552,0.239,0.313
Revolut — Kids & Teens subscription bundles,10,Kids and teens account management,6,Accessing plan partner subscriptions,0.564,0.25,0.314
Cancelling or rescheduling a number transfer to Revolut,34,Mobile number transfers,26,eSIM data plan management,0.499,0.184,0.315
How does Revolut keep my money safe?,20,FSCS protection for accounts,54,Revolut service providers and regulation,0.444,0.128,0.316
Promotional and free trials,57,Downgrading paid plans,37,Plan billing and payments,0.497,0.18,0.317
Locate a bank transfer sent from Revolut,19,Transfer status and tracking,23,Canceling transfers and payment links,0.48,0.163,0.317
Downgrading your paid plan,57,Downgrading paid plans,37,Plan billing and payments,0.49,0.173,0.317
Paying for my mobile plan,37,Plan billing and payments,34,Mobile number transfers,0.46,0.142,0.318
How do I get an update on my existing claim?,1,Revolut travel insurance coverage,15,Purchase insurance coverage,0.531,0.213,0.318
How will the account transition affect returns/chargebacks?,53,Account transition impact,28,Moving accounts to Revolut Bank,0.528,0.209,0.319
I lost access to my passkey,5,Lost phone number login,60,60_deposit_card_pay_topup,0.458,0.138,0.32
I found my lost card,44,Replace reactivate or fix cards,13,Ordering a physical card,0.44,0.12,0.32
Download an account statement for a specific currency,16,Download account statements,42,Currency accounts and exchange rates,0.432,0.111,0.32
Cover for medical expenses abroad,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.483,0.162,0.322
How long will Revolut hold my data?,63,Personal data privacy and retention,26,eSIM data plan management,0.468,0.146,0.322
Crypto basics,3,Crypto account setup and security,8,Crypto deposit troubleshooting,0.574,0.251,0.322
Trouble with my selfie verification for Wealth Protection,21,Identity and address verification,61,Closed restricted or deceased accounts,0.453,0.13,0.323
Cover for car hire excess,1,Revolut travel insurance coverage,15,Purchase insurance coverage,0.474,0.15,0.324
How do I order a Revolut Terminal?,48,Revolut Pro account features,12,Accepting payments with Revolut,0.443,0.117,0.326
Block or report another Revolut customer,68,Blocking and unblocking payments,62,Report fraudulent transactions,0.436,0.109,0.326
Who is covered by travel insurance?,1,Revolut travel insurance coverage,14,Cancel for any reason protection,0.498,0.17,0.328
Will this affect my other Revolut products?,53,Account transition impact,28,Moving accounts to Revolut Bank,0.447,0.118,0.329
Work at Revolut,6,Accessing plan partner subscriptions,3,Crypto account setup and security,0.665,0.335,0.329
A refund or chargeback was sent to my closed account,67,Dispute and refund status,68,Blocking and unblocking payments,0.44,0.109,0.33
Spare change round ups,59,Spare change round ups,27,Group Pockets,0.439,0.108,0.332
What do I need to do to move my account to a bank account?,28,Moving accounts to Revolut Bank,53,Account transition impact,0.497,0.163,0.333
Getting started with travel insurance,1,Revolut travel insurance coverage,25,Pet insurance policy management,0.463,0.129,0.334
Paid plan downgrade fees ,57,Downgrading paid plans,37,Plan billing and payments,0.484,0.15,0.334
Is my mobile device covered by Revolut purchase protection?,15,Purchase insurance coverage,14,Cancel for any reason protection,0.496,0.162,0.334
What should I do if my card is expiring soon?,44,Replace reactivate or fix cards,13,Ordering a physical card,0.474,0.14,0.334
What exchange rates does Revolut offer?,42,Currency accounts and exchange rates,18,18_limits_withdrawal_atm_fees,0.469,0.135,0.335
Received an unexpected link?,24,Recognizing scam red flags,63,Personal data privacy and retention,0.459,0.124,0.335
Accessing the Retail Web App,5,Lost phone number login,51,APP scam reimbursement,0.52,0.183,0.337
Reactivate a card,44,Replace reactivate or fix cards,13,Ordering a physical card,0.462,0.125,0.337
How will I know when my account has been moved?,28,Moving accounts to Revolut Bank,53,Account transition impact,0.503,0.167,0.337
Currency exchange fees and limits,18,18_limits_withdrawal_atm_fees,47,Crypto trading fee tiers,0.461,0.124,0.337
Will my account details change after my account is moved?,28,Moving accounts to Revolut Bank,7,Adding money via bank transfer,0.445,0.107,0.338
How to link a card to a Pocket and manage it,27,Group Pockets,35,Managing Click to Pay cards,0.475,0.136,0.339
How to download a subject access request document,16,Download account statements,63,Personal data privacy and retention,0.444,0.103,0.341
How to contact Revolut Support,45,Contacting support and complaints,6,Accessing plan partner subscriptions,0.468,0.127,0.341
Will the transition affect my Pro products and services?,53,Account transition impact,54,Revolut service providers and regulation,0.497,0.155,0.341
My card has been used fraudulently,62,Report fraudulent transactions,70,Reporting fraud and suspicious activity,0.509,0.167,0.342
Supported eSIM devices,26,eSIM data plan management,48,Revolut Pro account features,0.514,0.171,0.343
How does converting cryptocurrency to fiat currency work?,0,Trading order types,38,Pending and delayed card payments,0.51,0.166,0.343
Understanding mobile plan numbers,34,Mobile number transfers,37,Plan billing and payments,0.544,0.2,0.344
Trusted recipients,23,Canceling transfers and payment links,65,Account security and fraud protection,0.608,0.265,0.344
Is my account eligible to be moved to Revolut Bank?,28,Moving accounts to Revolut Bank,53,Account transition impact,0.513,0.17,0.344
How to download a card confirmation document,16,Download account statements,21,Identity and address verification,0.497,0.152,0.345
I'm having trouble using my Revolut Terminal,58,Card payment declined,48,Revolut Pro account features,0.503,0.155,0.348
Source of funds,21,Identity and address verification,64,Income Sorter,0.481,0.132,0.349
What are Payment Links and how do I use them?,12,Accepting payments with Revolut,56,International transfer intermediary bank fees,0.502,0.151,0.35
What is a special edition card?,13,Ordering a physical card,44,Replace reactivate or fix cards,0.484,0.133,0.351
How can I redeem my Pro Perks offers?,48,Revolut Pro account features,9,RevPoints earning and redemption,0.629,0.274,0.354
Purchase protection coverage,15,Purchase insurance coverage,14,Cancel for any reason protection,0.492,0.138,0.354
Can I cover intermediary bank fees upfront?,56,International transfer intermediary bank fees,47,Crypto trading fee tiers,0.458,0.102,0.355
"Supported crypto deposit currencies, networks, and exchanges",8,Crypto deposit troubleshooting,3,Crypto account setup and security,0.522,0.166,0.356
Why is my transfer to a bank account still pending?,19,Transfer status and tracking,23,Canceling transfers and payment links,0.555,0.199,0.356
Tips for spending in a foreign currency,42,Currency accounts and exchange rates,18,18_limits_withdrawal_atm_fees,0.562,0.205,0.357
Transfer I sent arrived in a different currency ,42,Currency accounts and exchange rates,23,Canceling transfers and payment links,0.531,0.174,0.357
Pay with Revolut Ramp,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.503,0.145,0.358
Why can't I trade in Revolut X?,0,Trading order types,3,Crypto account setup and security,0.492,0.133,0.359
Trading orders routing,0,Trading order types,25,Pet insurance policy management,0.566,0.205,0.361
Why might my currency order fail or not execute?,0,Trading order types,42,Currency accounts and exchange rates,0.597,0.236,0.361
How to assign and adjust categories,46,Scheduled transfers and custom categories,43,Financial analytics dashboard,0.505,0.144,0.361
What is the consolidated statement?,16,Download account statements,17,Tax and national identification,0.518,0.156,0.362
Revolut Chrome Extension,41,Virtual card usage and limits,35,Managing Click to Pay cards,0.48,0.118,0.362
Fees for cash withdrawals,18,18_limits_withdrawal_atm_fees,47,Crypto trading fee tiers,0.499,0.136,0.363
Documents needed for an Ultra trip and event cancellation protection claim,14,Cancel for any reason protection,21,Identity and address verification,0.512,0.147,0.365
How do I make a travel insurance claim?,1,Revolut travel insurance coverage,25,Pet insurance policy management,0.493,0.125,0.368
Stock markets,31,Stock investing fundamentals,0,Trading order types,0.589,0.22,0.369
Am I eligible for Apple Pay?,4,Supported currencies and cards,33,Apple Pay and Card Security,0.504,0.134,0.37
What is Open Banking and how does it work?,65,Account security and fraud protection,26,eSIM data plan management,0.506,0.135,0.371
What items are eligible for purchase insurance?,15,Purchase insurance coverage,1,Revolut travel insurance coverage,0.536,0.164,0.372
How can I improve my financial health?,29,Reporting vulnerable circumstances,45,Contacting support and complaints,0.523,0.149,0.373
About crypto unified balance,3,Crypto account setup and security,16,Download account statements,0.502,0.128,0.373
Transfer your Revolut number to another provider,34,Mobile number transfers,37,Plan billing and payments,0.504,0.13,0.373
What types of orders can I create on Revolut X?,0,Trading order types,47,Crypto trading fee tiers,0.503,0.129,0.374
Create and manage custom categories for transactions,46,Scheduled transfers and custom categories,43,Financial analytics dashboard,0.681,0.306,0.375
Crypto notifications,69,Account settings and notifications,42,Currency accounts and exchange rates,0.537,0.157,0.38
Can I order my card to a different address?,13,Ordering a physical card,44,Replace reactivate or fix cards,0.548,0.168,0.38
Managing my eSIM data plan,26,eSIM data plan management,30,Device software and security updates,0.519,0.138,0.381
Manage subscription payments to merchants,68,Blocking and unblocking payments,6,Accessing plan partner subscriptions,0.52,0.138,0.382
Add money to or withdraw from Revolut Kids & Teens account,10,Kids and teens account management,7,Adding money via bank transfer,0.513,0.128,0.385
Revolut - Kids & Teens Referrals,10,Kids and teens account management,2,Referral purchase requirements,0.599,0.213,0.386
Return or manage crypto deposits,8,Crypto deposit troubleshooting,60,60_deposit_card_pay_topup,0.531,0.144,0.387
Download your account confirmation,16,Download account statements,21,Identity and address verification,0.55,0.163,0.387
Sign in with face ID or fingerprint,5,Lost phone number login,30,Device software and security updates,0.526,0.137,0.39
Why is my incoming transfer pending?,19,Transfer status and tracking,56,International transfer intermediary bank fees,0.527,0.133,0.393
How does the commission-free allowance work?,32,Trading fees and allowances,37,Plan billing and payments,0.53,0.137,0.393
Download a cryptocurrency statement,16,Download account statements,3,Crypto account setup and security,0.555,0.162,0.393
Getting an update on an everyday protection claim,15,Purchase insurance coverage,14,Cancel for any reason protection,0.553,0.16,0.394
Can I use leverage to trade?,0,Trading order types,32,Trading fees and allowances,0.541,0.147,0.395
Lost or stolen device,5,Lost phone number login,35,Managing Click to Pay cards,0.515,0.12,0.396
Problems with a refund,67,Dispute and refund status,68,Blocking and unblocking payments,0.524,0.127,0.397
Where can I get help and advice on financial abuse?,29,Reporting vulnerable circumstances,45,Contacting support and complaints,0.553,0.154,0.398
How does the gambling block work?,68,Blocking and unblocking payments,29,Reporting vulnerable circumstances,0.587,0.19,0.398
Pending crypto deposits,8,Crypto deposit troubleshooting,60,60_deposit_card_pay_topup,0.554,0.154,0.399
Is there a fee associated with crypto staking?,3,Crypto account setup and security,18,18_limits_withdrawal_atm_fees,0.579,0.179,0.4
Glossary of onboarding terms,11,Exchange Traded Products,64,Income Sorter,0.561,0.161,0.4
My account was restricted or closed,61,Closed restricted or deceased accounts,21,Identity and address verification,0.504,0.103,0.401
Change passcode,5,Lost phone number login,21,Identity and address verification,0.557,0.156,0.401
Log in with a new phone number,5,Lost phone number login,34,Mobile number transfers,0.612,0.211,0.401
Are funds in my  independent teen account FSCS protected?,20,FSCS protection for accounts,53,Account transition impact,0.541,0.138,0.404
Close a Pocket,27,Group Pockets,22,Joint account management,0.554,0.147,0.406
What gambling support is available?,29,Reporting vulnerable circumstances,17,Tax and national identification,0.572,0.166,0.406
Who is Revolut Trading Ltd authorised by?,54,Revolut service providers and regulation,51,APP scam reimbursement,0.593,0.186,0.407
Market analysis,31,Stock investing fundamentals,0,Trading order types,0.563,0.154,0.41
Joint account card payments,22,Joint account management,28,Moving accounts to Revolut Bank,0.523,0.11,0.413
I want to close my Joint account,22,Joint account management,7,Adding money via bank transfer,0.539,0.126,0.413
Why was my transfer sent via an intermediary bank?,56,International transfer intermediary bank fees,19,Transfer status and tracking,0.59,0.176,0.414
What are the fees for Revolut Ramp?,50,Crypto card payments and Ramp,3,Crypto account setup and security,0.648,0.233,0.415
Difficulty with selfie authentication,21,Identity and address verification,63,Personal data privacy and retention,0.528,0.112,0.417
Receive (deposit) crypto from an external address,8,Crypto deposit troubleshooting,3,Crypto account setup and security,0.564,0.146,0.418
Is the money in my Savings account protected by the FSCS?,20,FSCS protection for accounts,39,Instant Access Savings Interest Rates,0.586,0.168,0.418
What are the main pet insurance policy conditions I should be aware of?,25,Pet insurance policy management,1,Revolut travel insurance coverage,0.54,0.121,0.419
Can't see my deposit in-app,8,Crypto deposit troubleshooting,3,Crypto account setup and security,0.572,0.151,0.421
Why was my document not accepted for Revolut Pro?,48,Revolut Pro account features,21,Identity and address verification,0.634,0.213,0.421
Referral reward smaller than expected,2,Referral purchase requirements,35,Managing Click to Pay cards,0.641,0.22,0.422
What is Trading Pro?,32,Trading fees and allowances,48,Revolut Pro account features,0.55,0.126,0.423
Update on my chargeback case,67,Dispute and refund status,62,Report fraudulent transactions,0.536,0.112,0.424
What are Pro Pockets?,27,Group Pockets,35,Managing Click to Pay cards,0.535,0.109,0.425
Crypto recurring buy,0,Trading order types,42,Currency accounts and exchange rates,0.557,0.13,0.427
Setting up a Joint account,22,Joint account management,7,Adding money via bank transfer,0.531,0.102,0.429
Redeem RevPoints,9,RevPoints earning and redemption,59,Spare change round ups,0.579,0.149,0.43
Trading customer support,45,Contacting support and complaints,29,Reporting vulnerable circumstances,0.585,0.155,0.43
When do payments arrive in my Pro account?,48,Revolut Pro account features,29,Reporting vulnerable circumstances,0.659,0.229,0.43
What are the fees for Trading Pro?,32,Trading fees and allowances,48,Revolut Pro account features,0.614,0.183,0.431
My card payment is pending,38,Pending and delayed card payments,67,Dispute and refund status,0.576,0.146,0.431
Change my phone number,5,Lost phone number login,34,Mobile number transfers,0.631,0.197,0.434
Calculation of crypto tiered pricing,47,Crypto trading fee tiers,18,18_limits_withdrawal_atm_fees,0.537,0.101,0.435
How can I get a full statement of my Ramp transaction?,50,Crypto card payments and Ramp,16,Download account statements,0.597,0.161,0.436
Stake and unstake crypto,3,Crypto account setup and security,50,Crypto card payments and Ramp,0.6,0.155,0.445
Using Tap to Pay on iPhone to take payments,12,Accepting payments with Revolut,48,Revolut Pro account features,0.612,0.167,0.445
How do I cancel my Pet Insurance policy?,25,Pet insurance policy management,15,Purchase insurance coverage,0.609,0.162,0.447
"Trading account information, statements and reports",16,Download account statements,64,Income Sorter,0.572,0.124,0.448
Getting started with AIR,43,Financial analytics dashboard,63,Personal data privacy and retention,0.555,0.104,0.451
Service disruptions during transfer to Revolut,34,Mobile number transfers,26,eSIM data plan management,0.578,0.12,0.458
eSIM on Revolut Terminals,26,eSIM data plan management,30,Device software and security updates,0.599,0.137,0.462
How do I manage notifications from Revolut?,69,Account settings and notifications,30,Device software and security updates,0.59,0.125,0.465
Why has my card payment been reverted?,38,Pending and delayed card payments,67,Dispute and refund status,0.595,0.129,0.467
How can I see my travel analytics?,43,Financial analytics dashboard,1,Revolut travel insurance coverage,0.606,0.138,0.468
Disruptions to adding money with Visa cards,66,Card top-up restrictions,60,60_deposit_card_pay_topup,0.616,0.146,0.47
Why is my card added to Click to Pay not shown at checkout?,35,Managing Click to Pay cards,5,Lost phone number login,0.571,0.101,0.47
Can I cancel an airport lounge pass? ,36,Airport lounge and fast track,9,RevPoints earning and redemption,0.637,0.161,0.476
Stocks and Shares Individual Savings Account (ISA),49,Stocks and Shares ISA rules,32,Trading fees and allowances,0.608,0.13,0.478
Why is my card transfer still pending?,19,Transfer status and tracking,23,Canceling transfers and payment links,0.654,0.175,0.48
Accepted proof of address documents,21,Identity and address verification,16,Download account statements,0.676,0.194,0.481
What is the analytics dashboard?,43,Financial analytics dashboard,64,Income Sorter,0.684,0.195,0.488
Ultra trip & event cancellation with companion coverage,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.67,0.18,0.49
What is Click to Pay?,35,Managing Click to Pay cards,5,Lost phone number login,0.609,0.118,0.491
Revolut closed my joint account,22,Joint account management,28,Moving accounts to Revolut Bank,0.636,0.142,0.494
Am I covered for trips or events that I didn't purchase with my Revolut account with Ultra trip and event cancellation protection?,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.62,0.125,0.495
What is a fractional share?,31,Stock investing fundamentals,49,Stocks and Shares ISA rules,0.654,0.157,0.496
Stocks and Shares ISA rules,49,Stocks and Shares ISA rules,31,Stock investing fundamentals,0.615,0.117,0.498
Investing with the Stocks and Shares ISA,49,Stocks and Shares ISA rules,31,Stock investing fundamentals,0.658,0.158,0.5
Managing a failed number transfer,34,Mobile number transfers,19,Transfer status and tracking,0.617,0.114,0.503
Installing and activating my eSIM,26,eSIM data plan management,30,Device software and security updates,0.618,0.108,0.51
Can I have a trading account if I’m a US Person?,54,Revolut service providers and regulation,17,Tax and national identification,0.712,0.201,0.511
How to place a stock order,0,Trading order types,31,Stock investing fundamentals,0.615,0.102,0.513
Cryptocurrencies and networks available for withdrawals,8,Crypto deposit troubleshooting,3,Crypto account setup and security,0.655,0.139,0.516
Revolut.me link,12,Accepting payments with Revolut,23,Canceling transfers and payment links,0.624,0.105,0.52
Unsupported transfers sent from Revolut,4,Supported currencies and cards,10,Kids and teens account management,0.645,0.121,0.523
Timeframes for transfers,19,Transfer status and tracking,7,Adding money via bank transfer,0.662,0.139,0.523
Accessing Revolut X,5,Lost phone number login,34,Mobile number transfers,0.688,0.164,0.524
How long will the Authorised Push Payment fraud reimbursement process take?,51,APP scam reimbursement,19,Transfer status and tracking,0.664,0.131,0.532
"Add, edit, or delete a beneficiary",23,Canceling transfers and payment links,19,Transfer status and tracking,0.648,0.115,0.533
Dispute a card payment,67,Dispute and refund status,38,Pending and delayed card payments,0.651,0.118,0.533
Revolut - Kids & Teens statements,10,Kids and teens account management,16,Download account statements,0.676,0.141,0.535
How do I share feedback with Revolut?,45,Contacting support and complaints,31,Stock investing fundamentals,0.691,0.156,0.536
Who is Revolut's travel insurance provider?,1,Revolut travel insurance coverage,6,Accessing plan partner subscriptions,0.655,0.119,0.536
Security prices,0,Trading order types,31,Stock investing fundamentals,0.7,0.161,0.539
Crypto private keys and exposure on the blockchain,3,Crypto account setup and security,8,Crypto deposit troubleshooting,0.703,0.155,0.548
Pet Insurance payments and renewals,25,Pet insurance policy management,37,Plan billing and payments,0.662,0.112,0.549
Exceeding my ISA allowance,49,Stocks and Shares ISA rules,32,Trading fees and allowances,0.714,0.159,0.554
Can I cancel an Airport Fast Track pass? ,36,Airport lounge and fast track,9,RevPoints earning and redemption,0.683,0.126,0.557
Stocks and Shares ISA transfers,49,Stocks and Shares ISA rules,31,Stock investing fundamentals,0.665,0.105,0.559
Manage a Stays booking,9,RevPoints earning and redemption,45,Contacting support and complaints,0.69,0.129,0.561
Trade confirmation statements,16,Download account statements,32,Trading fees and allowances,0.739,0.178,0.561
Failed orders in Revolut X,0,Trading order types,42,Currency accounts and exchange rates,0.718,0.144,0.573
Why hasn't my referrer received their Referrals reward?,2,Referral purchase requirements,67,Dispute and refund status,0.678,0.102,0.576
Advantages of investing in bonds,55,Bond investment basics,64,Income Sorter,0.71,0.132,0.579
Limits for using my card abroad,18,18_limits_withdrawal_atm_fees,42,Currency accounts and exchange rates,0.705,0.125,0.58
Why is the Revolut app no longer supported on my device?,30,Device software and security updates,5,Lost phone number login,0.746,0.164,0.582
Dispute process and timelines,67,Dispute and refund status,68,Blocking and unblocking payments,0.719,0.121,0.598
Delayed (offline) card payments,38,Pending and delayed card payments,68,Blocking and unblocking payments,0.714,0.111,0.603
My supplier won’t let me cancel my trip/event. Am I covered with Ultra trip and event cancellation protection?,14,Cancel for any reason protection,1,Revolut travel insurance coverage,0.712,0.106,0.606
What features are available with Revolut Pro?,48,Revolut Pro account features,12,Accepting payments with Revolut,0.733,0.113,0.62
How do I upload a document?,21,Identity and address verification,5,Lost phone number login,0.74,0.115,0.625
Support if you are experiencing financial difficulties,29,Reporting vulnerable circumstances,17,Tax and national identification,0.745,0.117,0.628
Where you can sign up for Revolut,4,Supported currencies and cards,56,International transfer intermediary bank fees,0.757,0.127,0.63
How do I donate to Ukrainian refugees?,59,Spare change round ups,4,Supported currencies and cards,0.752,0.121,0.631
Stock basics,31,Stock investing fundamentals,0,Trading order types,0.747,0.107,0.64
Where can I get help if I'm worried about my mental health?,29,Reporting vulnerable circumstances,45,Contacting support and complaints,0.766,0.124,0.642
Why was my URL not accepted for Revolut Pro?,48,Revolut Pro account features,24,Recognizing scam red flags,0.802,0.154,0.649
What is a stop order?,0,Trading order types,31,Stock investing fundamentals,0.8,0.15,0.65
What is a crypto market order?,0,Trading order types,3,Crypto account setup and security,0.787,0.133,0.655
Crypto stop order,0,Trading order types,3,Crypto account setup and security,0.776,0.107,0.669
Trading limit orders,0,Trading order types,31,Stock investing fundamentals,0.794,0.122,0.671
